Frequency (Hz),Real,Imag,Magnitude,Magnitude (dB)
640.0,1.4521595838899074e-12,2.101542190393612e-12,5.108912618194868e-16,-239.99556358804836
641.0,-1.3401244799936965e-12,-2.3386019897639906e-12,5.390730150325269e-16,-239.99531893288972
642.0,-1.1969495407595377e-13,5.648736093773915e-12,1.1300008201613912e-15,-239.99019047892534
643.0,1.4896404189044592e-12,-1.659749514451471e-13,2.9977166391379103e-16,-239.99739660660293
644.0,-6.547357222930672e-12,2.7599206395616485e-12,1.4210566285879083e-15,-239.98766562080613
645.0,-5.836348107293661e-13,-2.9362823034387984e-12,5.987447989847747e-16,-239.9948009250589
646.0,-2.216950359584661e-12,5.64431411764481e-13,4.575347731243605e-16,-239.99602681232153
647.0,2.6603235417236126e-12,1.867806931346915e-12,6.501084241705055e-16,-239.99435506468612
648.0,-1.6666830946139527e-12,-2.4181815988562784e-14,3.3337170234418195e-16,-239.99710485273826
649.0,-3.017260311075679e-13,-3.3827005578117617e-12,6.792260790537399e-16,-239.99410231994045
650.0,4.832225581919236e-12,1.7416265316894649e-12,1.0273006775124676e-15,-239.99108155986588
651.0,2.1691045939715206e-12,3.573166204970042e-12,8.360031451598342e-16,-239.99274160254305
652.0,-4.6260122553213705e-12,2.3454069846138147e-12,1.0373220003423967e-15,-239.9909946055257
653.0,-5.274559944090567e-13,6.132206116000558e-13,1.6177136267327336e-16,-239.99859498543972
654.0,7.55995471219986e-13,4.810825764490681e-13,1.79217141799327e-16,-239.99844347915854
655.0,2.4433563407562002e-12,6.152958360245136e-13,5.039277398096927e-16,-239.99562404175722
656.0,-2.709171038689102e-12,1.832879829915227e-12,6.541882355341422e-16,-239.99431965098984
657.0,-1.2164898763695677e-12,6.257817418207924e-12,1.2749921797240348e-15,-239.98893261255543
658.0,6.544299088225246e-13,2.536248754603493e-13,1.4037151890803711e-16,-239.99878083404454
659.0,-7.371103886929159e-13,1.4255718772005818e-12,3.209727030253016e-16,-239.99721251385424
660.0,-2.7448409662577793e-12,-1.6420917773255484e-12,6.39706724529518e-16,-239.9944453544727
661.0,-3.0679957444749027e-12,3.259149833534852e-13,6.170516498475769e-16,-239.99464201037665
662.0,1.0802695981235795e-12,6.181095455672161e-12,1.2549569464608913e-15,-239.98910641652284
663.0,1.0339368655024971e-12,-1.6689899442469335e-12,3.9266030488668e-16,-239.9965900653557
664.0,-2.2527516866120065e-12,-8.535371882395586e-13,4.818055995208496e-16,-239.99581609756845
665.0,1.341933650453178e-12,1.3658584624635678e-12,3.829545801633365e-16,-239.9966743355289
666.0,-2.4242431750598357e-12,1.0770979684656168e-12,5.305504690600868e-16,-239.99539291921474
667.0,1.626898817221732e-12,2.2382406509013457e-12,5.534083834863635e-16,-239.99519448543967
668.0,-3.5394547418560298e-12,3.442015864307442e-12,9.874251987830012e-16,-239.99142756532038
669.0,-1.6580044465532375e-13,-1.7200958528817473e-13,4.7781621939366163e-17,-239.9995849840201
670.0,-1.8700452520165324e-13,4.611385118320299e-13,9.952274504665856e-17,-239.9991355994331
671.0,-1.8309755218175722e-12,3.0046983497885578e-12,7.037239099168711e-16,-239.99388968151933
672.0,-4.1377737299889337e-13,1.993627049687001e-12,4.0722281506072624e-16,-239.99646362756718
673.0,-3.429032599114937e-13,4.775689179746298e-12,9.575967791759494e-16,-239.99168639996162
674.0,-1.0605965741983982e-11,3.216125650369978e-12,2.216573693961972e-15,-239.9807683917927
675.0,2.6844265846564424e-12,-5.437106441000253e-12,1.2127369465663474e-15,-239.98947268286588
676.0,-9.158248557150232e-13,8.515398093132373e-12,1.7129009294278275e-15,-239.98513465936244
677.0,-1.3008888706297872e-11,-4.2108427289233466e-13,2.603140390664488e-15,-239.97741878815168
678.0,-8.394453983102482e-12,-4.697630490649913e-12,1.923898021217433e-15,-239.98330528842956
679.0,-2.228296429245541e-12,-1.1273823370021104e-11,2.2983855060021802e-15,-239.98005938399245
680.0,7.507405967211354e-12,1.6200632563363724e-13,1.5018307548597607e-15,-239.98696504950485
681.0,-5.307101949718079e-12,-1.0990968016441176e-12,1.0839436310820923e-15,-239.99059008423484
682.0,1.826612778663336e-12,-5.142233023206839e-12,1.0914041361133855e-15,-239.9905253535174
683.0,9.500820683821733e-13,8.412015835344883e-13,2.5379330493945495e-16,-239.99779585904867
684.0,-2.1414092133602285e-12,-1.953315597025459e-12,5.796921679873551e-16,-239.99496631665727
685.0,5.722078252647697e-13,-1.2719283881493328e-12,2.7894254748061625e-16,-239.99757747367437
686.0,-2.3125609095951876e-13,4.0406745976285215e-13,9.311281150197998e-17,-239.99919127004637
687.0,7.400275594850219e-13,1.7336338818017325e-12,3.7699481295786025e-16,-239.99672608174683
688.0,-1.8753147987287546e-12,1.170467682845238e-12,4.4212216370212293e-16,-239.99616062435354
689.0,-6.141938312644361e-12,-3.248913536569459e-12,1.3896596044273998e-15,-239.98793794917407
690.0,1.2743366459073705e-12,-6.01349806287617e-12,1.229407871120368e-15,-239.9893280576529
691.0,1.0040115776320982e-12,-1.854167947176514e-12,4.217097591640991e-16,-239.99633784770106
692.0,-2.843653810200118e-12,-3.4493465827449822e-12,8.940773756260728e-16,-239.99223761215825
693.0,3.883622512403999e-12,-5.815766843400021e-12,1.3986517478721026e-15,-239.98785995314708
694.0,5.1308707223188786e-12,-7.790982298378845e-13,1.0379369618793923e-15,-239.9909892695744
695.0,-5.373583311359295e-13,2.264323726239482e-12,4.654424094666168e-16,-239.99595815914762
696.0,-3.074803206397953e-13,-1.686769142087588e-12,3.4291306690061537e-16,-239.99702200551286
697.0,5.730397604806241e-12,-1.6233592059759118e-12,1.1911801177117734e-15,-239.98965969831744
698.0,-1.4006977492941005e-13,2.064486605202268e-12,4.138465650411205e-16,-239.99640611801553
699.0,3.8914732464078176e-12,7.950574829554894e-13,7.943722157455237e-16,-239.99310290966838
700.0,6.311036703029729e-13,2.1145856237480994e-12,4.413508446953295e-16,-239.99616732098715
701.0,6.255837561998752e-13,-1.0665225165343816e-12,2.472913515912738e-16,-239.99785232015202
702.0,1.653352005857655e-12,1.9591450137712483e-12,5.127113043520018e-16,-239.99554778744655
703.0,-1.6217170859955956e-13,2.1152406181535284e-12,4.242896433219468e-16,-239.99631544858676
704.0,-3.0828349641246826e-12,5.726413284334093e-13,6.271136900773133e-16,-239.99455466694053
705.0,1.7426066749775588e-13,-3.3851169226508883e-13,7.614642369459977e-17,-239.99933862574778
706.0,3.038376523945553e-13,-8.43775684520719e-14,6.306723176754113e-17,-239.99945222225833
707.0,-1.5901444042094735e-12,-1.7334585781701596e-12,4.7046521097613215e-16,-239.99591455205416
708.0,3.7235607281018513e-13,-4.688852238612027e-13,1.1975013955966718e-16,-239.99895992577692
709.0,-1.277944477574461e-12,3.829782204932245e-12,8.074744286967546e-16,-239.9929891963683
710.0,-8.260640728836173e-12,1.3608379845068414e-12,1.6743961929123424e-15,-239.98546854177494
711.0,-3.5005362084258857e-12,-1.3277818830747027e-11,2.7463009787613664e-15,-239.97617862816242
712.0,1.1918521087805248e-11,-1.5019728546816243e-11,3.834805812765518e-15,-239.96675500331708
713.0,1.3494398056560958e-11,3.5311884290734105e-12,2.7897531835668766e-15,-239.9758022489348
714.0,2.5230183960182423e-12,6.0581627922689476e-12,1.3125084113144322e-15,-239.98860717174728
715.0,2.289411148641958e-12,-1.6485045536158245e-12,5.642329544015733e-16,-239.99510051692286
716.0,5.461525458159882e-12,3.705810752855876e-12,1.3200196008561501e-15,-239.98854201614589
717.0,-1.722517772906469e-14,3.3698118467627927e-12,6.739711741411694e-16,-239.9941479326031
718.0,1.793539920422074e-14,7.810284050246394e-14,1.602714227698511e-17,-239.99986079112654
719.0,9.055733267695742e-12,4.0806153457128733e-13,1.8129844922850063e-15,-239.98426687443526
720.0,-7.767384139449214e-14,7.980405744228337e-12,1.596156747542667e-15,-239.98614701147756
721.0,3.2654918210936815e-14,-1.782931203869743e-12,3.566460442183972e-16,-239.9969027640957
722.0,6.641872315159617e-12,3.970536330530081e-12,1.5476385444016708e-15,-239.9865677738402
723.0,1.6473556175169008e-12,4.253232618245397e-12,9.122229603659641e-16,-239.9920801438293
724.0,1.347301192014951e-12,1.5095736934693922e-12,4.0467434996647517e-16,-239.99648575427145
725.0,1.1990511553634868e-11,1.184022464488749e-11,3.370242050412714e-15,-239.97077566841654
726.0,-7.910419871092398e-12,2.315272285479654e-11,4.8933559777641e-15,-239.95760050353402
727.0,-2.2358801434248974e-11,5.2183812029075335e-12,4.5919386056655096e-15,-239.96020622357165
728.0,-8.907429333050383e-12,-1.594840399636394e-11,3.653458018669566e-15,-239.96832429461335
729.0,2.4043444385332435e-12,-3.0803783017276274e-12,7.815267790897537e-16,-239.99321439586805
730.0,-1.858608557108046e-13,2.9336591836574752e-12,5.879081718616742e-16,-239.99489499499197
731.0,-1.121729900405475e-12,-5.002486385654842e-12,1.0253418553463175e-15,-239.991098556535
732.0,3.0008674072632682e-12,-7.164871147181032e-13,6.170432393773402e-16,-239.994642083384
733.0,-1.8092762656039011e-12,9.290525962564312e-13,4.067736142813796e-16,-239.99646752768825
734.0,1.555299084151441e-12,-6.919604588599227e-14,3.1136752135883196e-16,-239.99729591703257
735.0,2.3270311796862733e-12,3.1299393457754185e-12,7.800408814790452e-16,-239.99322729214154
736.0,-3.6471116177527806e-12,2.6612542869970066e-12,9.029661684118016e-16,-239.99216047439504
737.0,-1.3903724504961125e-12,-1.552024805527587e-12,4.167453202171086e-16,-239.99638095020006
738.0,-7.281709592634113e-13,-5.900008435578005e-13,1.8743894379914893e-16,-239.99837207858346
739.0,-7.347551474706946e-13,9.442102318062802e-13,2.392821003403599e-16,-239.99792187070372
740.0,-9.23410222392119e-13,-1.9785409623942137e-12,4.3668344501206287e-16,-239.99620784371555
741.0,6.36252618521456e-13,1.4216915381438804e-12,3.1151399481919404e-16,-239.99729464517634
742.0,-9.512770421697438e-13,5.580072061478543e-13,2.2057198852729696e-16,-239.99808434731227
743.0,3.0869652740078084e-12,-1.8836553732724485e-14,6.17404548693533e-16,-239.994638947027
744.0,3.38639538959179e-12,4.362817962401959e-12,1.104569677434714e-15,-239.9904111245004
745.0,-4.062778409698146e-12,5.784636352223444e-12,1.4137635747716004e-15,-239.98772887780558
746.0,-7.048659845690455e-12,1.1936837358805948e-12,1.4298039933019467e-15,-239.98758975030967
747.0,2.5090905198904024e-14,-1.1647631295512069e-12,2.33006669559961e-16,-239.99797636553427
748.0,-4.647750994611122e-12,2.4679510666965256e-12,1.0524708409360745e-15,-239.99086316171332
749.0,-3.4904947248494656e-12,-1.8076190632591759e-12,7.861562211687936e-16,-239.9931742165393
750.0,-6.918906943620068e-13,-3.796940822551588e-12,7.718930584712748e-16,-239.99329800835952
751.0,1.946852955969803e-12,1.3885515630739834e-12,4.782598404835414e-16,-239.99584688086316
752.0,-2.6712463036522054e-12,8.637043492575571e-13,5.61481683323757e-16,-239.99512440071666
753.0,4.454941235021598e-13,-1.8533827224767573e-12,3.8123444388199317e-16,-239.99668927073614
754.0,-4.011672348862852e-13,2.1969470564346535e-12,4.466547444782468e-16,-239.99612127234474
755.0,-7.068709986369443e-13,1.1936744372671249e-12,2.774545203019031e-16,-239.9975903949195
756.0,-3.3907663701984375e-14,-4.184027571769795e-13,8.395489190536198e-17,-239.99927080768356
757.0,1.0838288921609826e-12,2.1819033388360507e-12,4.872530039930717e-16,-239.99576880492907
758.0,-6.2452559873982856e-12,-3.232260077021481e-12,1.4064242255257274e-15,-239.98779253681795
759.0,-1.5298118624011307e-12,-2.099547135273881e-12,5.195545210112208e-16,-239.9954883786847
760.0,-3.453715575447488e-12,-1.4012861192997122e-12,7.454328692573361e-16,-239.99352766441132
761.0,-1.421120509642895e-13,-1.815441133281599e-12,3.6419897547577224e-16,-239.99683718380498
762.0,5.186130296232611e-13,-1.459642924803459e-13,1.0775250329793836e-16,-239.99906412406872
763.0,-4.035915232297316e-13,-8.360074550306456e-13,1.8566578386872602e-16,-239.9983874771823
764.0,-2.8128790171129135e-12,-1.7948681876105399e-12,6.673481902518491e-16,-239.99420542055537
765.0,8.018036866961757e-13,-4.073251578673482e-12,8.302835076084698e-16,-239.99279124132738
766.0,2.0976099578438536e-12,7.956206012188063e-13,4.486860673713623e-16,-239.99610363639334
767.0,1.892146908652705e-12,9.734534532177532e-13,4.2557403818868257e-16,-239.99630429721327
768.0,1.4075421430876861e-12,-1.8770910738972554e-12,4.692396310744704e-16,-239.99592519230657
769.0,3.2994397069353413e-13,-3.7885391723911986e-13,1.0047752274104723e-16,-239.99912730716864
770.0,-1.8973661901893345e-12,1.4508476271831646e-12,4.777010486476498e-16,-239.99585173214854
771.0,1.4786324568232268e-12,-1.6560581828420507e-12,4.440217403384301e-16,-239.99614413214775
772.0,-4.506670365585535e-12,2.11061225387045e-12,9.952841176314423e-16,-239.9913593712231
773.0,-3.4792980064473316e-12,-2.4588900539121655e-12,8.520951804791892e-16,-239.99260194677652
774.0,3.955149041512764e-12,-3.002124535926205e-12,9.930952757875644e-16,-239.991378364379
775.0,2.31251539896572e-12,-5.1494774872636175e-12,1.1289791116276406e-15,-239.99019934336064
776.0,3.980933125780912e-13,-3.494802576375169e-13,1.0594616293151593e-16,-239.99907981206553
777.0,-1.4298425952582435e-14,-3.2386529505333443e-12,6.477369027308251e-16,-239.9943756501013
778.0,1.117891469723419e-12,-1.0410766865699351e-12,3.055173975668044e-16,-239.99734671489395
779.0,2.2871351828353406e-12,1.174247030549991e-12,5.141923155131247e-16,-239.99553493014866
780.0,4.015945351520493e-12,-4.921892413829793e-13,8.091987967300051e-16,-239.9929742307951
781.0,-1.9391120952137135e-12,7.921365857963445e-14,3.88145875748265e-16,-239.9966292618865
782.0,2.403278273211162e-12,-2.256719936384112e-12,6.593491132855897e-16,-239.99427485359683
783.0,2.475623463286774e-12,1.8377339545268654e-12,6.166353093878732e-16,-239.99464562443464
784.0,2.1214624789277976e-12,-3.0586102690117483e-13,4.286795547854139e-16,-239.99627733455532
785.0,-1.2501734579519337e-12,-2.3268588246280597e-12,5.2828801480696e-16,-239.99541256024432
786.0,1.2912132579888194e-12,-1.0020277276198505e-12,3.268817060971814e-16,-239.99716120552586
787.0,-6.868115700264142e-13,3.25610824988956e-13,1.5201743874597237e-16,-239.99867969365624
788.0,4.737094687451944e-12,6.588445636164253e-13,9.565383889189677e-16,-239.99169558423262
789.0,7.428657096048921e-12,8.55117474807603e-13,1.495542338369587e-15,-239.98701958825995
790.0,2.937205641377853e-12,3.6187763048467577e-12,9.321527540969287e-16,-239.99190719533146
791.0,-2.6457061779336072e-12,5.051448434656975e-12,1.1404717000952625e-15,-239.99009963314927
792.0,-2.4277121850311627e-12,8.313496118312344e-12,1.7321432292110624e-15,-239.9849678102714
793.0,-1.0670113084150338e-11,-4.734699197235956e-12,2.334683616397417e-15,-239.9797448312837
794.0,-2.1107739459819275e-12,2.500181239333497e-12,6.54408828808148e-16,-239.9943177361939
795.0,7.074558757729711e-13,-1.447466959971575e-11,2.8983895793153897e-15,-239.9748613212552
796.0,8.033000955221758e-12,8.388432427705193e-13,1.6153360310788023e-15,-239.9859806894085
797.0,2.3842922493667236e-12,1.5076653932950528e-12,5.641951601539934e-16,-239.9951008450144
798.0,-4.0945137454645827e-13,-2.7326122657091155e-12,5.526235689082358e-16,-239.99520129848477
799.0,8.463142485492919e-13,7.935711873583405e-13,2.3203474194205306e-16,-239.99798480562782
800.0,1.6417756041897556e-13,4.1882725033147044e-13,8.997122583700781e-17,-239.99921855501503
801.0,2.3065493196214072e-12,-4.792577982579179e-13,4.711627235271061e-16,-239.99590849638818
802.0,4.7132403048383656e-12,5.212871197416149e-13,9.483960023610677e-16,-239.9917662408056
803.0,2.293402449977132e-12,9.95733729512459e-13,5.000472160766382e-16,-239.99565773064674
804.0,9.88415252772814e-13,1.2984214283167017e-12,3.2636561812947946e-16,-239.99716568674532
805.0,-6.878985886403246e-13,1.3847597964394002e-14,1.3760759052068806e-16,-239.9988048378852
806.0,9.053645863190203e-14,1.6026729855365618e-12,3.2104563843231275e-16,-239.99721188054863
807.0,4.314504007963797e-13,-2.519357894062527e-13,9.992418932993319e-17,-239.99913211288003
808.0,1.9963302017613502e-12,-1.3277255771541624e-12,4.795076425957721e-16,-239.9958360477795
809.0,1.649227996411036e-12,-1.797448885619549e-13,3.317988070569338e-16,-239.99711851019086
810.0,2.732171048207887e-12,-2.634174090258543e-12,7.590423380669831e-16,-239.99340954292262
811.0,5.249785282391037e-12,6.32511975018939e-14,1.0500332609054814e-15,-239.99088431203012
812.0,5.85595140925116e-12,3.0377345872798105e-12,1.319393774887038e-15,-239.9885474448369
813.0,3.0810452013143825e-12,6.654312166727778e-12,1.4665975582252103e-15,-239.98727062761904
814.0,-2.6964106369251004e-12,1.3027731658165862e-12,5.989273159405771e-16,-239.99479934068557
815.0,2.6846385106138987e-12,3.1377603947911455e-12,8.259013071255209e-16,-239.9928292731433
816.0,-2.8367980412470275e-12,3.663167452946986e-12,9.266330215387985e-16,-239.99195509460205
817.0,-2.9472414158787e-12,-2.3160456879533107e-12,7.496745851943443e-16,-239.9934908488564
818.0,2.0852391781028377e-12,-9.743800536445733e-13,4.603320070920726e-16,-239.99600252700134
819.0,3.770902285192083e-12,1.3328830813710925e-12,7.999070284244831e-16,-239.9930548731881
820.0,3.9954123304451153e-13,8.296739409515794e-13,1.841729670930947e-16,-239.99840044122675
821.0,3.7449616986057834e-12,-6.560870502875141e-13,7.60399588152947e-16,-239.99339776294764
822.0,4.642654194706672e-13,9.027262570612841e-13,2.0302286323507018e-16,-239.99823674480044
823.0,3.0593546010084722e-12,2.411855650575515e-12,7.791456411717836e-16,-239.99323506204266
824.0,2.549986941863728e-12,2.636089967399215e-12,7.335231071997207e-16,-239.99363103484998
825.0,1.2310643909727933e-12,2.488225939339618e-12,5.5522204062604495e-16,-239.9951787409413
826.0,3.548082796318281e-12,2.7797514854997874e-12,9.014634734844896e-16,-239.99217351487204
827.0,1.7179636349908088e-12,7.909426663685794e-12,1.6187702641125406e-15,-239.98595090819717
828.0,-4.591667301226477e-12,3.39781603684471e-12,1.1424283334265047e-15,-239.99008265742503
829.0,-2.6709630400541228e-12,-1.3875389435125868e-12,6.019736831822198e-16,-239.99477289615453
830.0,3.459681430475198e-13,-5.486653713024423e-13,1.2972704354454333e-16,-239.99887327829825
831.0,1.2867721432961836e-12,4.06445772200237e-12,8.526570030840713e-16,-239.9925970710034
832.0,-1.1202989780970117e-12,-1.5885195615404458e-12,3.8876544073370818e-16,-239.99662388250306
833.0,2.3562336031332867e-12,3.238894889514359e-12,8.010562251891362e-16,-239.9930448993757
834.0,-7.38345219075955e-13,6.115987138750036e-12,1.2320787692982648e-15,-239.98930488704318
835.0,-2.3848156227646165e-12,-2.036639600798857e-12,6.272239286929131e-16,-239.99455371002023
836.0,6.915601940203643e-13,2.1142117455282345e-12,4.448886065919436e-16,-239.99613660598817
837.0,-7.807507912408437e-13,1.8396356681262664e-12,3.996914404620433e-16,-239.9965290178736
838.0,1.2369148322450183e-12,7.843819307827577e-13,2.9293093490215116e-16,-239.9974560068168
839.0,9.569154616036397e-14,-6.069828807050582e-13,1.2289590546077147e-16,-239.99893260531607
840.0,-2.1332609387493387e-12,2.1745333587485408e-12,6.092420721225323e-16,-239.99470980194073
841.0,-5.428722014589694e-13,2.2350785041612776e-12,4.600124410004896e-16,-239.99600530144045
842.0,1.086575118417467e-12,1.2825331788675e-12,3.3618666498598106e-16,-239.99708041046617
843.0,-8.325292174243518e-13,-5.205580794742958e-13,1.9637572273284403e-16,-239.99829446960166
844.0,2.5800433909409295e-12,3.0489718944074565e-12,7.988204682411328e-16,-239.99306430339178
845.0,-5.274738895050505e-13,-3.130115490340697e-13,1.2267109422162893e-16,-239.99893455776197
846.0,-2.4647256883341976e-13,2.4955946463261324e-12,5.015472606229247e-16,-239.9956447079471
847.0,7.055363804963144e-14,-3.8270762775914993e-13,7.783134180703156e-17,-239.99932399186164
848.0,4.4564829866551276e-13,3.706044550778004e-12,7.465485548430139e-16,-239.99351798091323
849.0,-4.772937019675098e-12,-9.68385352748427e-13,9.740369189143234e-16,-239.9915437405051
850.0,3.7490776440924666e-12,-9.505859636147898e-13,7.735424191511511e-16,-239.99328369325622
851.0,2.1948251432369853e-12,4.074321390934299e-12,9.255777051336113e-16,-239.99196425248272
852.0,-8.050011545503155e-13,2.955803488890547e-12,6.126924554379587e-16,-239.9946798505913
853.0,-1.9717183119759038e-12,-1.942479625998123e-12,5.535666246875407e-16,-239.9951931117344
854.0,-9.927615618262196e-13,3.030676446186476e-12,6.37826786521517e-16,-239.99446167298302
855.0,3.0635734782218277e-12,8.209692931624738e-13,6.34333446596658e-16,-239.99449199645994
856.0,3.2474255734749874e-12,-1.5246531416735868e-12,7.175051235405775e-16,-239.99377006442035
857.0,-1.5418885102446454e-12,1.5091607922081921e-12,4.315083533264638e-16,-239.99625277448655
858.0,2.351564928421097e-13,3.8169919679872635e-12,7.648457690228816e-16,-239.99335917334062
859.0,2.9547328358247225e-12,-2.1212181178239734e-12,7.274616810385407e-16,-239.99368364529712
860.0,6.154081431920901e-13,6.841864292018621e-12,1.373897145686046e-15,-239.98807467123154
861.0,-1.3968560071846088e-12,3.879508434483954e-12,8.246645960156132e-16,-239.99284000622168
862.0,-6.354681537444671e-12,3.534685180805503e-12,1.4543173899771152e-15,-239.98737713625385
863.0,2.5216669912397308e-12,-3.1695758344096782e-12,8.100621058852672e-16,-239.99296673825327
864.0,-4.8748960096465705e-12,8.728011391873535e-13,9.904825679119205e-16,-239.9914010355862
865.0,5.817309634362337e-12,3.5536728208344087e-12,1.3633734910079781e-15,-239.9881659536024
866.0,-2.062540131532078e-12,1.8493696989420352e-13,4.141629378403631e-16,-239.99640337117353
867.0,1.527283396062647e-12,4.1508492240580495e-12,8.84582248357991e-16,-239.9923200125047
868.0,-3.0043926884692576e-12,1.7103060508730212e-12,6.914194736679147e-16,-239.99399648199363
869.0,1.283256421246627e-12,5.65014412114202e-13,2.804274115394184e-16,-239.9975645799152
870.0,-2.3394206768961727e-12,3.1539198119540837e-12,7.853686849811579e-16,-239.99318105162098
871.0,-7.15090230128694e-12,3.5996636573757713e-12,1.6011618552636429e-15,-239.98610360705317
872.0,-8.121711184906745e-12,-5.964131570898697e-12,2.015272269109362e-15,-239.9825131819173
873.0,5.947994656036422e-12,-4.658048256039253e-12,1.5109739108777248e-15,-239.9868857525139
874.0,4.0024084960038897e-13,7.161226317960306e-13,1.640761239741254e-16,-239.99857496979843
875.0,2.682082970571234e-12,-1.53631771405283e-12,6.181857707692964e-16,-239.9946321656078
876.0,2.225919218403123e-13,-2.201238025210234e-13,6.261043111331473e-17,-239.99945618972907
877.0,4.919244935919881e-12,-1.2584545051768052e-12,1.0155329336101945e-15,-239.99118366889485
878.0,-6.191331909886577e-13,4.837353455544933e-13,1.571401658039755e-16,-239.99863520509138
879.0,3.872503110526307e-12,-8.989127077100287e-13,7.95093061147398e-16,-239.9930966534568
880.0,-1.0248409545380433e-12,-5.684341886080801e-13,2.3438569997992407e-16,-239.9979643902268
881.0,9.149378049061103e-12,1.1065267863972773e-12,1.8432093772944607e-15,-239.98400482347427
882.0,-9.030533217720323e-13,-6.551520034518465e-13,2.2313488741928907e-16,-239.99806209119296
883.0,2.424476266036145e-11,-4.590098589852465e-12,4.9350887389056035e-15,-239.95723979000292
884.0,4.149370918372299e-12,3.657662119346971e-11,7.362245573053948e-15,-239.93628659758969
885.0,-2.191103590613539e-11,4.7545042986896405e-12,4.484189137876379e-15,-239.96113789557128
886.0,-6.508746383415371e-12,-1.3539688203701825e-12,1.3296166522747419e-15,-239.98845876750568
887.0,-2.2131919980133397e-12,-3.2134421448772847e-12,7.803698927699301e-16,-239.99322443661367
888.0,1.193679562757924e-13,4.204696900273507e-12,8.412781878107883e-16,-239.99269582249778
889.0,-4.611461939633773e-12,-2.32026456075111e-13,9.234590948603982e-16,-239.99198263750046
890.0,1.2651428896793483e-12,4.686835680740927e-13,2.6983334251266095e-16,-239.99765657351935
891.0,-8.412812201482934e-13,-2.582422573878754e-12,5.432001635291643e-16,-239.99528310432152
892.0,-4.5961831103860435e-14,3.212900522067706e-12,6.426458512935832e-16,-239.99441984190003
893.0,-2.279309072412063e-12,-3.4487429792885807e-13,4.610504583644555e-16,-239.99599628948644
894.0,2.896174326791965e-13,1.2447264298109948e-12,2.5559515976494655e-16,-239.9977802123217
895.0,-1.4041255471141537e-12,8.569595814458301e-13,3.289953359116469e-16,-239.99714285278912
896.0,6.077951975588797e-13,5.37863675952386e-13,1.623221902371516e-16,-239.99859020178747
897.0,4.1954152656377113e-13,-7.639284548094335e-14,8.528797320891962e-17,-239.99925922966622
898.0,3.996408065531979e-12,1.8746056509376013e-12,8.828459383782937e-16,-239.9923350805857
899.0,-1.875082027592256e-12,1.868950246896638e-12,5.294868321525849e-16,-239.9954021529535
900.0,-8.67136556527171e-13,2.1326116240774043e-12,4.604327593391184e-16,-239.99600165228114
901.0,-6.021881312565341e-13,1.4214310266437332e-12,3.0874563698499086e-16,-239.99731868337204
902.0,-5.353558557138439e-13,1.4595419355073623e-12,3.1092562157221325e-16,-239.99729975413143
903.0,-7.382669925305772e-13,-7.199127889810751e-13,2.0623409766560459e-16,-239.998208858079
904.0,-3.117045216684315e-13,5.076490066811131e-12,1.017210127894146e-15,-239.99116911576178
905.0,-1.0441340697677874e-13,1.8839830271766833e-12,3.7737483785998866e-16,-239.99672278213706
906.0,1.803517067997006e-12,-2.547103922994574e-12,6.241926692645746e-16,-239.994580022741
907.0,-5.734278395901375e-12,-5.841516694388048e-13,1.1527910807186077e-15,-239.98999275092328
908.0,-3.829132256653076e-12,1.3331546070677533e-12,8.10914423235573e-16,-239.99295934111413
909.0,6.903204593406289e-12,-6.294473912025275e-12,1.8684178920957964e-15,-239.98378627069002
910.0,3.220001139118902e-13,1.0043525934354276e-11,2.009737269071818e-15,-239.9825611617571
911.0,4.103478384244559e-12,-2.6032939288375338e-12,9.719192174226149e-16,-239.9915621167469
912.0,1.1344536968432492e-12,-1.2005244506421456e-12,3.303479466787066e-16,-239.99713110803322
913.0,-2.579242676797555e-13,3.107117476015129e-12,6.235608691255975e-16,-239.99458550706575
914.0,2.137261422573143e-12,4.321243957859325e-12,9.64179147912982e-16,-239.99162928111804
915.0,2.0032457771302429e-13,2.325879132657664e-12,4.6689800497188965e-16,-239.9959455218968
916.0,-1.2278282921800801e-12,-2.49982614095713e-13,2.5060356122194103e-16,-239.997823557825
917.0,-1.636975504784281e-12,-2.629575847439733e-13,3.3159224928445693e-16,-239.997120303734
918.0,6.2332761795078816e-12,2.5279267217641913e-12,1.3452753686978712e-15,-239.9883229392859
919.0,-3.52155042516024e-13,-2.907252193109922e-13,9.133111783239866e-17,-239.9992067442139
920.0,1.1666112269428476e-12,5.311958595303432e-12,1.0877110990156734e-15,-239.99055739591802
921.0,-2.770104109149831e-12,1.2127037354004983e-13,5.545514684509389e-16,-239.9951845622271
922.0,2.7355559734825487e-12,5.328158526411325e-12,1.1978737791040548e-15,-239.98960162728076
923.0,-2.4140849285467652e-12,-8.085681536984222e-12,1.687673569856021e-15,-239.9853534094855
924.0,7.974902834568013e-12,5.129264167426358e-12,1.8964010769881452e-15,-239.98354366851095
925.0,7.193347006107634e-12,9.843672998067033e-12,2.4383776511701517e-15,-239.97884630071144
926.0,-6.370113321953188e-12,1.375694707778284e-12,1.3033937189281628e-15,-239.98868623754527
927.0,2.87842804184372e-12,6.707657484641743e-12,1.4598358390359197e-15,-239.98732927335428
928.0,4.961413527038287e-12,-1.9520226548744707e-12,1.0663210891925878e-15,-239.9907429872978
929.0,-2.756003937037292e-12,5.124931362426654e-12,1.1637951567273233e-15,-239.98989728131528
